youtube_video_id,youtube_url,language,channel_name,title_original,decision,evidence_types,classification_confidence,quality_score,reason_he
x10WJdhm0wU,https://www.youtube.com/watch?v=x10WJdhm0wU,en,Megs Braap,Riding Gnarly Rocks Obstacles,approved,description;transcript,high,3,התמלול הקצר מאמת את מבנה התוואי אך כמעט אינו מלמד טכניקה; נשמר רק כניתוח מתקדם ומסומן בבירור.
uT-staOOo9w,https://www.youtube.com/watch?v=uT-staOOo9w,en,Paul Tannahill,How to Safely Lift a Fallen Motorcycle,approved,description;transcript,high,5,תיאור ותמלול מלא מזהים מדריכת Team Oregon ומאמתים את רצף ההערכה וההרמה.
CXMqS_gMOS0,https://www.youtube.com/watch?v=CXMqS_gMOS0,en,DanDanTheFireman,From Zero to Riding: Motorcycle Training for Absolute Beginners,approved,description;chapters;transcript,high,5,שבעה פרקים ותמלול נרחב מאוד תומכים ברצף; המקור מקדם מערכת הדרכה מסחרית.
3tSkUdUYaA4,https://www.youtube.com/watch?v=3tSkUdUYaA4,en,Adam Riemann,5 Steps to Transform Your Off-road Bike's Handling,approved,description;chapters;transcript,high,5,שישה פרקים ותמלול מלא מיוצר מנוסה מאמתים את סדר הכיוון; הערכים הספציפיים תלויי אופנוע.
UbemLevjCHw,https://www.youtube.com/watch?v=UbemLevjCHw,en,Adam Riemann,How to survive ruts Husqvarna TE300,approved,description;chapters;transcript,high,5,"חמישה פרקים ותמלול מלא מאמתים חילוץ, תנופה ופנייה; הטכניקה סווגה מתקדם בלבד."
dWkoJmTyrtI,https://www.youtube.com/watch?v=dWkoJmTyrtI,en,AdventurePiggy,Tenere 700 Rear Tire/Tube Repair,approved,description;chapters;transcript,high,5,שמונה פרקים ותמלול מלא מתעדים את כל הפעולות ואת מגבלות ערכת הדרך; המקור הוא ניסיון אישי שקוף.
46iiFjZUEUA,https://www.youtube.com/watch?v=46iiFjZUEUA,en,Autozium,This One Trick Fixes Your Slow-Speed Struggles.,approved,description;chapters;transcript,high,4,עשרה פרקים ותמלול מלא תומכים בגורמי האבחון; הכותרת שיווקית והיוצר אינו מציג הסמכה.
J0ijNI0HhFA,https://www.youtube.com/watch?v=J0ijNI0HhFA,en,Gliding_On_Two's,How to Avoid Motorcycle Fatigue on Long Distance Rides,approved,description;chapters;transcript,high,4,שישה פרקים ותמלול מלא תומכים בעצות; זהו ניסיון אישי ולא ייעוץ רפואי או ארגונומי מקצועי.
nM4y8J-5ZCA,https://www.youtube.com/watch?v=nM4y8J-5ZCA,en,Off Road Skills,How To Ride Off Road with BMW Off Road Skills - Motorcycle Live 2020,approved,description;chapters;transcript,high,5,תשעה פרקים ותמלול מלא מבית ספר מקצועי מאמתים את רצף הקורס; הסרטון גם מקדם קורסים.
XgPpLKCUlbA,https://www.youtube.com/watch?v=XgPpLKCUlbA,en,RevZilla,How To Clean & Lube Your Motorcycle Chain at RevZilla.com,approved,description;chapters;transcript,high,5,"שמונה פרקים ותמלול מלא מאמתים סוגים, בדיקה וניקוי; RevZilla הוא קמעונאי ולכן התוכן מסחרי."
vVBdOqqKt-A,https://www.youtube.com/watch?v=vVBdOqqKt-A,en,Robert Baldinger,Your First Gravel Ride on an Adventure Bike,approved,description;chapters;transcript,high,5,שבעה פרקים ותמלול מלא תומכים בכל שלבי הכניסה; יש Patreon וקידום ערוץ.
_4KinOAw74Q,https://www.youtube.com/watch?v=_4KinOAw74Q,en,Rocky Mountain ATV MC,Dirt Bike Chain Maintenance & Adjustment,approved,description;chapters;transcript,high,5,ארבעה פרקים ותמלול מלא מספקים תהליך ברור; המקור קמעונאי ומקדם מוצרים.
VKCEzq_fUNg,https://www.youtube.com/watch?v=VKCEzq_fUNg,en,Expat on Two Wheels,How to do River Crossings - 5 Tips,approved,description;chapters;transcript,high,4,"תיאור, שבעה פרקים ותמלול מלא תומכים בעצות; היוצר מצהיר על טעויותיו ואינו מוצג כמדריך."
bYhY-nzJnqY,https://www.youtube.com/watch?v=bYhY-nzJnqY,en,IRC Tire USA Moto,Proper Hard Enduro Downhill Technique. How to Conquer Steep Downhill Descents.,approved,description;chapters;transcript,high,5,חמישה פרקים ותמלול מלא של מדריך טכני מאמתים את התהליך; העצה המתקדמת סויגה במפורש.
6_VlZuPDOSM,https://www.youtube.com/watch?v=6_VlZuPDOSM,en,Ninja Nick,How To Ride A Motorcycle For Beginners: Ninja 400,approved,description;chapters;transcript,high,4,"תיאור, שלושה פרקים ותמלול מלא תומכים ברצף; היוצר אינו מציג הסמכת הדרכה ולכן הסרטון משלים קורס בלבד."
tkQ-s7PI5Ds,https://www.youtube.com/watch?v=tkQ-s7PI5Ds,en,ADVMotoSkillZ,3 Safe ADV Motorcycle Lifting Techniques,approved,description;transcript,high,4,תיאור ותמלול מלא מאמתים שלוש טכניקות ומכניקת גוף; המקור מקדם תוכן וחסויות ואינו מחליף תרגול מפוקח.
qwK6pdXY7rw,https://www.youtube.com/watch?v=qwK6pdXY7rw,en,Boundless Backcountry,Adventure Motorcycles: River Crossing with a Wipe-Out,approved,description;transcript,high,3,התמלול קצר ומאמת בעיקר את האירוע והסלע; הערך הוא Red-case לניתוח ולא הסבר טכני.
FCTnaF_aZP0,https://www.youtube.com/watch?v=FCTnaF_aZP0,en,DanDanTheFireman,How To Turn ANY Motorcycle At A Slow Speed (Tight Turn From A Stop),approved,description;transcript,high,4,תמלול מלא תומך בפריסה ובקלטים; הסרטון מסחרי ומקדם מערכת אימון.
MBS_7UeiXnQ,https://www.youtube.com/watch?v=MBS_7UeiXnQ,en,Gray Beard Biker,Motorcycle Riding Formation Explained |  Learn Safe Group Riding,approved,description;transcript,high,4,תיאור ותמלול מלא תומכים בסוגי המבנה; המקור קהילתי ומקדם תוכן נוסף.
zMuVNBk9Ogw,https://www.youtube.com/watch?v=zMuVNBk9Ogw,en,Chris Birch - Off Road Coach,Birchy's Off - Road Recovery. Chris Birch,approved,description;transcript,high,5,תמלול מלא ממאמן שטח מוכר מתעד את החילוץ בפועל; יש קוד הנחה וקידום מסחרי.
6IybZ8hvuDk,https://www.youtube.com/watch?v=6IybZ8hvuDk,en,MotoJitsu®,Expert Motorcop Advice: Handling Heavy Motorcycles Like A Pro!,approved,description;transcript,high,4,תמלול מלא מאמת את הטיפ ואת מקורו בקורס Ride Like a Pro; זהו טיפ יחיד ולא מדריך הרמה מלא.
KRgG21OBjcE,https://www.youtube.com/watch?v=KRgG21OBjcE,en,RevZilla,How to Clean & Lube Your Motorcycle Chain (The Right Way) | The Shop Manual,approved,description;transcript,high,5,תמלול מלא ומפורט של The Shop Manual מאמת את כל שלבי הטיפול; הפתיחה כוללת מבצע מסחרי לצמיגים.
vfOO-xV02vo,https://www.youtube.com/watch?v=vfOO-xV02vo,en,Roia Moto,CHANGE A MOTORCYCLE TIRE WHILE TRAVELLING,approved,description;transcript,high,4,תיאור ותמלול מלא מאמתים את התהליך; זהו ניסיון אישי ולכן נתוני מומנט נשארים לספר השירות.
DW0GVIvub44,https://www.youtube.com/watch?v=DW0GVIvub44,en,Terra-Moto,Motorcycle SAG Setup Guide: The Hidden Suspension Setting Every Rider Overlooks,approved,description;transcript,high,5,תמלול מלא עם מומחה מתלים מאמת מדידה והתאמות; הערכים סויגו לדגם הספציפי.
wrklB5UMWOU,https://www.youtube.com/watch?v=wrklB5UMWOU,en,Adam Riemann,How to pop up the front wheel. The secret to riding confidently offroad.,approved,description;chapters;transcript,high,5,חמישה פרקים ותמלול מלא מאמתים את העיקרון והיישום; הסרטון כולל חסות.
jevfjCDOddA,https://www.youtube.com/watch?v=jevfjCDOddA,en,Big Rock Moto,"Motorcycle Touring? Here's what to take, and how to pack it.",approved,description;chapters;transcript,high,4,שבעה־עשר פרקים ותמלול מלא תומכים ברשימה; זהו ניסיון אישי עם מרצ'נדייז וקישורי שותפים.
OFWtuGVuA2I,https://www.youtube.com/watch?v=OFWtuGVuA2I,en,Brake Magazine,Perfectly set up your adventure bike | MiniTip Monday,approved,description;chapters;transcript,high,5,"שלושה־עשר פרקים ותמלול מלא תומכים בתהליך; הסרטון כולל חסות, Patreon וחנות."
vQo1kb3kL60,https://www.youtube.com/watch?v=vQo1kb3kL60,en,Dork in the Road,How to Ride a Motorcycle on Gravel Roads: Five Gravel Riding Tips for Beginners,approved,description;chapters;transcript,high,5,שבעה פרקים ותמלול מלא מספקים רצף מתחילים ברור; המקור כולל Patreon וקישורי שותפים.
AWd4shge0qc,https://www.youtube.com/watch?v=AWd4shge0qc,en,FortNine,Ventilation vs Safety – How to Choose Smarter Summer Motorcycle Gear,approved,description;chapters;transcript,high,4,שלושה פרקים ותמלול מלא תומכים בהשוואת החומרים; זהו תוכן קמעונאי עם קישורי שותפים ומוצרים.
rmWQKoN6yX0,https://www.youtube.com/watch?v=rmWQKoN6yX0,en,FortNine,Best Beginner Motorcycle Gear – What Do You Really Need?,approved,description;chapters;transcript,high,4,חמישה פרקים ותמלול מלא מספקים נימוק אנטומי; הסרטון ישן ומסחרי ולכן נדרשת בדיקת תקנים עדכנית.
Kt3mVmoityo,https://www.youtube.com/watch?v=Kt3mVmoityo,en,Gray Beard Biker,🚨 Motorcycle Pack Riding Positions in a Group | Learn Where to Ride and Why 🚨,approved,description;chapters;transcript,high,4,שלושה פרקים ותמלול מלא תומכים בתפקידים; ההקשר מבוסס מועדון ולכן יש להתאימו לקבוצה.
TujQZ4bRgjQ,https://www.youtube.com/watch?v=TujQZ4bRgjQ,en,Great Motorcycle Roads,Does Google Maps Have Motorcycle Routes? | 5 Tips for Great Motorcycle Trips,approved,description;chapters;transcript,high,4,שמונה פרקים ותמלול מלא מאמתים את הכלים נכון ל־2025; השימוש דורש בדיקה עדכנית ויש קידום ערוץ.
kInjwfYnVYU,https://www.youtube.com/watch?v=kInjwfYnVYU,en,Great Motorcycle Roads,Google Maps vs GPX: What Actually Works for Motorcycle Trips?,approved,description;chapters;transcript,high,4,חמישה פרקים ותמלול מלא תומכים בהשוואה; תכונות התוכנה משתנות ויש קידום מסחרי.
tNUbI03Pw4I,https://www.youtube.com/watch?v=tNUbI03Pw4I,en,Kyle Bradshaw,Step-by-Step Flat Tire Tube Repair - Trailside - How To Fix a Front Flat,approved,description;chapters;transcript,high,4,שישה פרקים מאמתים את רצף הכלים; התמלול קצר וחלקי ולכן הסיווג בינוני ומגובה בתיאור.
n5d2muv5OtE,https://www.youtube.com/watch?v=n5d2muv5OtE,en,FortNine,How to Cross Water on Your Motorcycle,approved,description;transcript,high,4,"תמלול מלא תומך בבדיקת עומק וקו; יש חסות NordVPN והצגה בידורית, ולכן נשמרו רק העקרונות."
mCIxtcnmeYQ,https://www.youtube.com/watch?v=mCIxtcnmeYQ,en,IRC Tire USA Moto,The Secret to Hillclimbs!,approved,description;transcript,high,5,תמלול מלא מקליניקה מקצועית תומך בטכניקה ובתיקונים; אין פרקים ולכן הניווט פחות נוח.
RQBTnhHzthU,https://www.youtube.com/watch?v=RQBTnhHzthU,en,mxtvshow,MXTV Rider Tip - Deep Sand,approved,description;transcript,high,4,תיאור ותמלול מלא תומכים ביסודות; זהו חלק ראשון קצר ולכן נדרש מקור נוסף לטכניקה מתקדמת.
pNDdOJsAslg,https://www.youtube.com/watch?v=pNDdOJsAslg,en,The Girl On A Bike,How to Ride a Motorcycle in Sand,approved,description;chapters;transcript,high,5,שבעה פרקים ותמלול מלא תומכים בכל הנושאים; יש קידום ערוץ וקישורים מסחריים.
DhtzQXjS8kA,https://www.youtube.com/watch?v=DhtzQXjS8kA,en,The Moto Barista,Standing Technique Every Beginner Adventure Motorcycle Rider Needs to Know!,approved,description;transcript,high,4,תיאור ותמלול מלא תומכים בתנוחה; המקור הוא רוכב מנוסה ולא בית ספר מזוהה.
_FzURX3rpyM,https://www.youtube.com/watch?v=_FzURX3rpyM,en,Brake Magazine,The Perfect Basic Off Road Standing Position - Mini-Tip Monday,approved,description;chapters;transcript,high,5,חמישה פרקים ותמלול מלא תומכים בכל נקודת מגע; יש Patreon וחנות.
eqcDXVEtW9Q,https://www.youtube.com/watch?v=eqcDXVEtW9Q,en,Brake Magazine,Advanced Off-Road Standing Position & Technique - MiniTip Monday,approved,description;chapters;transcript,high,5,שישה פרקים ותמלול מלא תומכים בדפוסי התנועה; המקור מקדם Patreon וביגוד.
oW1fVY2m7JI,https://www.youtube.com/watch?v=oW1fVY2m7JI,en,Adventure Warehouse,ABS when off road = BAD!!!     Conclusive Proof using KTM 790 adventure R,approved,description;chapters;transcript,high,4,"מטא־דאטה חי, תיאור, ארבעה פרקי מקור וכתוביות אנגלית ידניות מאמתים שבע עצירות ותוצאות ההשוואה; הציון נשאר 4 משום שהניסוי נערך על אופנוע ומשטח יחידים והערוץ מסחרי."
